GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
supermarket,com.shop.supermarket.service,RolesServiceImpl,0,15,0,0,0,4,0,3,0,3
supermarket,com.shop.supermarket.service,UsersServiceImpl,0,36,0,0,0,11,0,6,0,6
supermarket,com.shop.supermarket.service,ItemsServiceImpl,0,29,0,0,0,9,0,5,0,5
supermarket,com.shop.supermarket.controller,UsersDataController,138,3,2,0,26,1,7,1,6,1
supermarket,com.shop.supermarket.controller,BasicController,84,11,4,0,20,5,6,5,4,5
supermarket,com.shop.supermarket.controller,StaffDataController,80,34,2,0,15,10,5,6,4,6
supermarket,com.shop.supermarket,SupermarketApplication,0,8,0,0,0,3,0,2,0,2
supermarket,com.shop.supermarket.config,SecurityConfig,0,68,0,0,0,20,0,5,0,5
supermarket,com.shop.supermarket.dto,RolesDTO,0,16,0,0,0,4,0,4,0,4
supermarket,com.shop.supermarket.dto,UsersDTO,0,76,0,0,0,10,0,16,0,16
supermarket,com.shop.supermarket.dto,ItemsDTO,130,46,26,0,1,7,17,10,4,10
supermarket,com.shop.supermarket.entity,Items,52,30,2,0,13,11,10,6,9,6
supermarket,com.shop.supermarket.entity,Users,21,94,3,1,5,22,5,19,3,19
supermarket,com.shop.supermarket.entity,Roles,7,30,0,2,1,10,2,6,2,5
supermarket,com.shop.supermarket.converter,ItemsConverter,7,19,0,0,1,3,1,3,1,3
supermarket,com.shop.supermarket.converter,UsersConverter,0,26,0,0,0,4,0,4,0,4
